Headline,Type
Tesla's robotaxi rollout runs into trouble - TheStreet nan,Technology&Science
"Japan's core inflation hits highest level since January 2023, putting pressure on BOJ to raise rates - CNBC Rice prices have spiked 101.7% year over year, marking their largest increase in over half a century.",Economy
"Ethereum hints toward a breakout, but are you missing the signs? - AMBCrypto With Open Interest at record highs and inflows surging, ETH could be repeating Bitcoin’s biggest moves.",Finance
"Deadly listeria outbreak leads to recall of ready-to-eat fettuccine Alfredo meals - NPR A nationwide listeria outbreak has been linked to 17 illnesses, and three deaths, according to the U.S. Department of Agriculture's Food Safety and Inspection.",Health&Medicine
Dow futures drop 200 points as Trump weighs attack on Iran: Live updates - CNBC Stocks are heading into the end of the shortened trading week,Finance
"Wes Moore accuses Trump of ‘a lack of seriousness’ in dealing with Iran - Politico ""To see such a free-wheeling conversation about issues of life and death is disappointing,"" Moore says.",Politics
"Stocks Slide on Mideast Tension, Fed’s Warning: Markets Wrap - bloomberg.com Oil trimmed earlier gains and equity futures remained lower after White House press secretary Karoline Leavitt said President Trump will decide within two weeks whether to back Israel militarily in its conflict with Iran. The remarks offered some short-term c…",Finance
"16 billion passwords exposed in unprecedented cyber leak of 2025, experts raise global alarm - The Economic Times A massive breach has exposed over 16 billion login credentials, creating unprecedented risks of phishing, identity theft, and account takeovers. The stolen data, gathered by infostealer malware, includes URLs, logins, and passwords for various online services…",Technology&Science
Trump Family Reduces Stake in Crypto Project World Liberty - Decrypt DT Marks DEFI LLC recently reduced its ownership share in the company from 60% to approximately 40%.,Business
Telegram founder and billionaire Pavel Durov plans to leave fortune to his 100-plus children - CBS News Telegram founder and CEO Pavel Durov told a publication that all of his more than 100 children will inherit some of his fortune.,LifeStyle
"Chase Sapphire’s $795 Revamp Hinges On Lounge Quality—LAX Promises Private Tarmac Transfers, Yet Will Spend Just $8.40 On Meals - View from the Wing Pondering this sent me down a rabbit hole, pouring through LA city documents about the upcoming Chase Sapphire Lounge at LAX in the Tom Bradley International Terminal. Ongoing operating costs for the lounge are about $20 million a year. But this one number st…",Business
Musk’s xAI Sparks New EU Scrutiny Ahead of Potential X Penalty - Bloomberg.com Elon Musk’s $33 billion xAI buyout of social media platform X has sparked new scrutiny from the European Union as regulators size up a penalty under the Digital Services Act.,Law&Regulations
"Feds issue urgent warning over risk of Boeing 737 Max engines leaking smoke into cabin, cockpit - New York Post The recommendations were inspired by two incidents on Southwest Airlines flights, when engines malfunctioned after bird strikes and poured smoke into the cabins.",Law&Regulations
"NYC cab drivers fear death of industry as Waymo aims to launch driverless taxis - Gothamist Waymo's potential launch could decimate the livelihoods of roughly 100,000 taxi and for-hire vehicle drivers in New York City, advocates said.",Business
‘Throwing us off a cliff': Megabill could derail hundreds of planned clean energy projects - Politico A POLITICO analysis identified 794 planned clean electricity generation facilities — mostly in GOP districts — that could lose subsidies under the House bill. The Senate is debating changes.,Politics
"There are some warning signs for US dollar shorts - Forexlive | Forex News, Technical Analysis & Trading Tools The US dollar is down against almost everything this year, with the Indian rupiah as a rare exception. International stock markets have also outperformed the US and it's all a result of the tariff ...",Finance
"Trump calls for the equivalent of 10 Fed rate cuts - CNN President Donald Trump on Thursday continued his extraordinary and targeted verbal attacks on Federal Reserve Chair Jerome Powell, calling for a massive 2.5-point reduction in interest rates.",Finance
Israel-tied Predatory Sparrow hackers are waging cyberwar on Iran’s financial system - Ars Technica The hacker group has destroyed more than $90 million held at an Iranian crypto exchange.,Technology&Science
Circle stock goes parabolic after Capitol Hill surprise - TheStreet nan,Business
"Federal immigration agents asked to leave Dodger Stadium parking lot, team says - AP News The Los Angeles Dodgers organization says it asked federal immigration agents to leave the Dodger Stadium grounds after they arrived at a parking lot near one of the gates. The team says the agents requested permission to access the stadium's parking lot but …",Law&Regulations
Oklahoma City Thunder look to clinch NBA championship in Game 6 against the Pacers - CNN Follow live updates as the Oklahoma City Thunder look to clinch NBA championship in Game 6 against the Pacers.,Sports
"Trump is silent about Juneteenth on a day he previously honored as president - AP News President Donald Trump honored Juneteenth in each of his first four years as president, before it became a federal holiday. He even claimed once to have made Juneteenth “very famous.” But on this year's Juneteenth holiday on Thursday, Trump kept silent about …",Politics
Tesla's robotaxi rollout runs into trouble - TheStreet nan,Business
Trump’s new two-week negotiating window sets off scramble to restart stalled Iran talks - CNN President Donald Trump’s decision to open a two-week negotiating window before deciding on striking Iran sets off an urgent effort to restart talks that had been deadlocked when Israel began its bombing campaign last week.,Politics
'Touched by God' - Messi shows he still has magic touch - BBC Few things are as inevitable as the ball hitting the back of the net when Lionel Messi sizes up the target before executing a free-kick from 20 yards.,Sports
"Israel vows vengeance after Iran targets hospital with ballistic missile Thursday - Fox News Israeli Prime Minister Benjamin Netanyahu vowed to exact a ""full price"" from Iran on Thursday after a ballistic missile struck the Soroka Hospital in southern Israel. Iranian state television accused Israel of striking its Arak heavy water reactor prior to th…",Politics
"Deadly listeria outbreak leads to recall of ready-to-eat fettuccine Alfredo meals - NPR A nationwide listeria outbreak has been linked to 17 illnesses, and three deaths, according to the U.S. Department of Agriculture's Food Safety and Inspection.",Health&Medicine
"GOP Rep. Max Miller alleges he was ""run off the road"" by man with Palestinian flag - Axios Democratic leadership cited the alleged incident to re-up their call to allocate more funding for members' security.",Politics
"First juror in Karen Read's retrial speaks out - WCVB The juror, only identified as Jason, spoke to TMZ following the verdict in the high-profile retrial.",Law&Regulations
"What to know about COVID variant NB.1.8.1 causing 'razor blade throat' - ABC News - Breaking News, Latest News and Videos nan",Health&Medicine
US judge blocks Trump plan to tie states' transportation funds to immigration enforcement - CNBC nan,Law&Regulations
"Israel strikes unfinished Arak heavy water reactor in Iran - BBC The Israeli military says it targeted the reactor's core seal to stop it being used for ""nuclear weapons development"".",Politics
WH praises SCOTUS ruling upholding TN ban on transgender treatments: ‘Victory for America’s children’ - Fox News Karoline Leavitt applauds Supreme Court for protecting 'America's innocent children' in transgender case,Law&Regulations
"Adobe just released an iPhone camera app with full manual controls - 9to5Mac Adobe has released Project Indigo, a free experimental app from the same team behind the original Google Pixel camera.",Technology&Science
"Stocks Slide on Mideast Tension, Fed’s Warning: Markets Wrap - bloomberg.com Oil trimmed earlier gains and equity futures remained lower after White House press secretary Karoline Leavitt said President Trump will decide within two weeks whether to back Israel militarily in its conflict with Iran. The remarks offered some short-term c…",Finance
"Fat Joe Sued for $20 Million by Former Hypeman in Explosive Suit: Alleges Rapper Engaged in Sex Acts With Minors and Coerced Him Into ‘More Than 4,000 Sexual Acts to Maintain His Standing’ - Variety Fat Joe’s former hypeman Terrance ""T.A."" Dixon filed an explosive lawsuit against the rapper alleging he engaged in sex acts with minors.",Law&Regulations
Xbox fans losing their minds over next-gen hardware reveal - GAMINGbible Fans are hyped for the next-gen Xbox console following a recent reveal.,Technology&Science
Americans largely disapprove of U.S. involvement in Israel and Iran war: Poll - Axios 60% of Americans think the U.S. military should not get involved in the conflict between Israel and Iran.,Politics
"NetEase Games announces AAA single-player action adventure game Blood Message for consoles, PC - Gematsu Publisher NetEase Games and developer 24 Entertainment Lin’an, a new development studio and subsidiary of Thunder Fire Studio, have announced Blood Message, a cinematic, single-player, linear…",Art&Entertainment
Metroid Prime 4 ad on London Underground claims the game is ‘out now’ - Video Games Chronicle A likely mistake means a billboard for the game is stating it's already out,Art&Entertainment
Google Phone's biggest redesign in years is starting to roll out - Android Police In-call screen and Recent tab get a glow-up,Technology&Science
"Samsung’s panic over Google Pixel’s TSMC shift shows a company lost in the woods - 9to5Google Samsung was allegedly shocked by Google's switch to TSMC foundries for the as-yet unannounced Pixel 10 series, but it shouldn't have been.",Technology&Science
"Adobe just released an iPhone camera app with full manual controls - 9to5Mac Adobe has released Project Indigo, a free experimental app from the same team behind the original Google Pixel camera.",Technology&Science
"Switch 2 third-party sales reportedly mostly ""very low"" despite record-breaking console launch - Eurogamer Switch 2 has got off to a flying start, with Nintendo proudly trumpeting the console as its ""fastest-selling hardware e…",Technology&Science
"Sifu developer’s new game Rematch launches without crossplay, studio apologizes - Polygon Rematch, the online multiplayer soccer game by Sifu developer Sloclap, is missing crossplay at launch. The team hopes to release the feature as soon as possible.",Art&Entertainment
Xbox fans losing their minds over next-gen hardware reveal - GAMINGbible Fans are hyped for the next-gen Xbox console following a recent reveal.,Technology&Science
"Samsung's upcoming Z Fold 7 and Z Flip 7 tipped to have sleeker aesthetic, larger displays - Android Central Leaks point to larger screens and slimmer designs for both devices.",Technology&Science
"Spotify’s HiFi lossless streaming might really, finally, actually be coming soon - The Verge Spotify announced its intention to add a lossless tier more than four years ago, and hidden mentions of lossless are buried in the client.",Technology&Science
Elden Ring Nightreign is getting even harder bosses - The Verge Elden Ring Nightreign is adding limited-time “Everdark Sovereign” versions of its Nightlord bosses.,Art&Entertainment
"Northern Lights Alert: Some States Could See Aurora Borealis Thursday - Forbes Some “minor” or greater geomagnetic storms are “likely” to disrupt Earth’s magnetic field, forecasters said.",Technology&Science
"Nintendo Confirms Pauline's Age in Donkey Kong Bananza — Leaving Fans Wondering Whether It's a Super Mario Odyssey Prequel, and If Mario Will Appear As a Potential Villain - IGN Nintendo has confirmed the age of Donkey Kong Bananza sidekick Pauline, sparking questions regarding the young character's timeline and how Bananza's story will tally with previous titles — such as Mario's original arcade game, where DK was the villain and Pa…",Art&Entertainment
PlayStation’s epic new sale has some of my favorite PS5 games from $5 — here’s 11 deals I’m adding to my cart - Tom's Guide PlayStation Store’s Mid-Year sale is discounting must-play PS5 games,Art&Entertainment
"New PowerWash Simulator 2 footage showcases its most exciting feature - TrueAchievements FuturLab has dropped a fresh gameplay trailer for PowerWash Simulator 2, and it showcases all the right improvements for the popular cleaning sim.",Art&Entertainment
"Dune Awakening’s early meta is an unbalanced, helicopter-infested nightmare, and I never want it to end - Eurogamer Dune Awakening’s early meta is an unbalanced, helicopter-infested nightmare, and I never want it to end.",Art&Entertainment
Nintendo Switch 2 firmware update fixes Carbon Engine games - Nintendo Everything It's been discovered that the new Nintendo Switch 2 firmware update has fixed backwards compatibility with Carbon Engine games.,Technology&Science
Report: Xbox Working On Massive Backwards Compatibility Overhaul Called 'Xbox Classics' - Pure Xbox Set to be revealed in 2026,Technology&Science
"The Nintendo Console Launches, Ranked From Worst To Best - Kotaku With the Switch 2’s launch fresh in our minds, we look back at the best and worst of Nintendo’s opening acts",Art&Entertainment
"Stellar Blade , As Told By Steam Reviews - Kotaku The sci-fi action adventure just made a big splash on PC",Art&Entertainment
